id,pop
CA8,CAO
NOR27,NOR
PAS02,PAS
CA28,CAO
CAD6,CAO
CAD14,CAO
NEW6,NEW
NEW14,NEW
NEW22,NEW
SAM1,SAM
LUD9,LUD
COR7,COR
COR15,COR
SAM8,SAM
SAM17,SAM
IV1,IV
IV10,IV
IV20,IV
TAD1,TAD
TAD10,TAD
LUD1,LUD
SAM2,SAM
LUD10,LUD
COR8,COR
COR16,COR
SAM10,SAM
SAM18,SAM
IV2,IV
IV11,IV
IV22,IV
TAD2,TAD
TAD11,TAD
LUD2,LUD
SAM3,SAM
COR1,SAM
COR9,COR
COR17,COR
SAM11,SAM
SAM19,SAM
IV3,IV
IV12,IV
IV23,IV
TAD3,TAD
TAD12,TAD
LUD3,LUD
SAM4,SAM
COR2,COR
COR10,COR
COR18,COR
SAM12,SAM
SAM20,SAM
IV4,IV
IV13,IV
IV24,IV
TAD4,IV
TAD13,TAD
LUD4,LUD
SAM5,SAM
COR3,COR
COR11,COR
COR19,COR
SAM13,SAM
SAM21,SAM
IV5,IV
IV28,IV
IV25,IV
TAD5,TAD
TAD14,TAD
LUD5,LUD
SAM6,SAM
COR4,COR
COR12,COR
COR20,COR
SAM14,SAM
SAM22,SAM
IV6,IV
IV15,IV
COR23,COR
TAD6,TAD
TAD15,TAD
LUD6,LUD
SAM7,SAM
COR5,COR
COR13,COR
SAM15,SAM
SAM23,SAM
IV7,IV
IV16,IV
COR24,COR
TAD7,TAD
TAD16,TAD
LUD7,LUD
COR21,COR
COR6,COR
COR14,COR
SAM16,SAM
SAM24,SAM
IV8,IV
IV17,IV
COR22,COR
TAD9,TAD
TAD17,TAD
LUD8,LUD
